YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1887,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,24.25,999.90,999.90,999.90,999.90,999.90
1888,22.75,23.75,26.15,27.55,28.45,27.55,26.25,25.65,26.45,27.65,26.65,24.85,23.58,27.38,26.48,26.92,26.09
1889,23.55,23.65,25.55,27.15,29.15,27.75,26.35,26.35,27.05,26.15,24.15,23.55,24.02,27.28,26.82,25.78,25.98
1890,23.75,24.45,25.65,27.45,28.35,26.55,25.55,25.25,25.75,26.25,25.35,24.05,23.92,27.15,25.78,25.78,25.66
1891,22.85,22.55,24.45,26.45,28.25,28.85,26.15,26.15,25.75,26.85,26.05,24.75,23.15,26.38,27.05,26.22,25.70
1892,23.55,24.55,25.25,28.65,29.15,27.05,26.45,999.90,25.15,26.75,24.95,23.85,24.28,27.68,26.39,25.62,25.99
1893,22.05,21.35,24.45,27.65,28.35,26.65,26.15,25.85,25.85,26.15,26.05,24.55,22.42,26.82,26.22,26.02,25.37
1894,23.35,24.25,25.75,27.55,28.95,27.65,26.05,26.25,25.35,26.15,25.05,23.65,24.05,27.42,26.65,25.52,25.91
1895,22.15,23.15,25.55,27.15,28.65,27.85,26.35,25.75,25.55,26.85,26.65,24.25,22.98,27.12,26.65,26.35,25.77
1896,23.95,23.25,25.75,28.35,29.35,27.75,26.25,25.65,26.75,28.15,26.65,25.15,23.82,27.82,26.55,27.18,26.34
1897,22.45,22.75,24.35,27.35,28.75,28.55,26.45,26.55,26.55,26.75,25.35,23.75,23.45,26.82,27.18,26.22,25.92
1898,23.65,23.45,25.65,27.75,29.15,27.75,26.15,26.15,25.95,27.85,26.85,25.15,23.62,27.52,26.68,26.88,26.18
1899,21.75,23.35,25.65,27.45,28.85,27.25,26.75,26.65,26.55,27.55,25.75,24.85,23.42,27.32,26.88,26.62,26.06
1900,22.45,22.75,25.35,27.25,28.85,29.05,27.35,26.05,26.35,26.85,26.25,25.15,23.35,27.15,27.48,26.48,26.12
1901,22.25,22.15,25.75,27.85,29.55,27.75,26.35,26.05,26.85,26.85,26.85,25.25,23.18,27.72,26.72,26.85,26.12
1902,24.25,24.25,26.65,28.15,29.75,28.65,27.05,26.85,26.15,28.05,26.85,24.65,24.58,28.18,27.52,27.02,26.82
1903,22.75,22.65,24.15,26.85,28.15,27.65,26.25,26.25,26.25,26.75,25.25,23.75,23.35,26.38,26.72,26.08,25.63
1904,23.65,24.35,25.65,27.55,29.05,27.65,26.65,26.35,26.55,27.55,25.75,24.15,23.92,27.42,26.88,26.62,26.21
1905,22.25,21.05,23.65,25.55,28.65,29.45,26.75,26.65,26.55,27.75,26.75,24.05,22.48,25.95,27.62,27.02,25.77
1906,22.35,22.25,24.55,26.55,29.05,27.65,26.25,26.35,26.25,27.15,27.05,24.95,22.88,26.72,26.75,26.82,25.79
1907,24.25,23.75,25.75,27.95,28.65,28.05,26.45,25.65,26.55,27.25,26.95,24.35,24.32,27.45,26.72,26.92,26.35
1908,23.35,23.35,24.55,27.75,28.65,28.45,26.05,25.65,26.45,27.15,25.25,23.35,23.68,26.98,26.72,26.28,25.92
1909,21.85,23.05,25.65,27.15,29.55,27.95,25.75,26.25,25.55,26.65,25.65,23.85,22.75,27.45,26.65,25.95,25.70
1910,23.05,24.35,25.85,27.65,28.75,27.45,26.85,25.85,25.75,26.35,24.85,23.75,23.75,27.42,26.72,25.65,25.88
1911,23.55,23.35,25.25,26.75,28.95,27.85,26.95,25.85,26.55,27.45,26.65,25.95,23.55,26.98,26.88,26.88,26.07
1912,24.05,24.45,25.65,28.35,29.25,28.65,26.75,26.15,26.65,27.35,25.95,24.35,24.82,27.75,27.18,26.65,26.60
1913,23.25,23.75,24.65,27.25,29.25,27.75,26.25,26.35,26.25,27.15,25.65,23.75,23.78,27.05,26.78,26.35,25.99
1914,23.95,23.45,24.65,26.75,29.55,28.55,26.65,26.15,26.65,28.25,27.35,24.25,23.72,26.98,27.12,27.42,26.31
1915,23.35,22.95,25.65,28.05,29.65,28.65,27.15,26.55,26.35,26.85,26.75,24.05,23.52,27.78,27.45,26.65,26.35
1916,23.75,22.55,26.25,27.75,29.05,27.55,26.75,26.35,26.25,26.55,26.15,24.15,23.45,27.68,26.88,26.32,26.08
1917,23.75,23.85,25.35,27.35,28.15,27.25,26.85,25.85,25.85,25.85,24.85,23.25,23.92,26.95,26.65,25.52,25.76
1918,23.15,23.55,26.15,26.65,28.25,27.55,27.55,26.85,26.65,27.45,27.15,23.75,23.32,27.02,27.32,27.08,26.18
1919,23.25,23.05,25.05,27.25,29.15,28.25,26.65,26.15,26.75,27.35,26.75,24.15,23.35,27.15,27.02,26.95,26.12
1920,24.65,23.75,26.15,27.65,29.05,28.35,26.35,26.45,26.85,27.95,26.75,24.25,24.18,27.62,27.05,27.18,26.51
1921,23.35,23.75,26.15,28.25,29.55,28.25,26.25,25.85,25.75,27.45,25.75,24.55,23.78,27.98,26.78,26.32,26.22
1922,23.35,24.15,25.75,28.05,29.35,27.75,25.95,25.75,25.75,27.35,26.65,24.05,24.02,27.72,26.48,26.58,26.20
1923,23.75,23.15,26.45,27.75,28.75,29.05,25.95,26.15,26.15,27.35,25.25,24.85,23.65,27.65,27.05,26.25,26.15
1924,23.05,23.55,27.05,28.55,29.65,28.85,26.85,26.65,26.25,26.65,25.35,24.35,23.82,28.42,27.45,26.08,26.44
1925,21.85,21.85,26.55,28.65,29.45,27.05,26.85,26.55,26.75,28.75,27.75,25.65,22.68,28.22,26.82,27.75,26.37
1926,23.75,24.45,25.95,26.85,28.85,29.15,27.05,26.35,26.55,26.95,25.55,23.95,24.62,27.22,27.52,26.35,26.43
1927,22.25,23.15,25.25,27.05,28.85,27.85,26.35,25.95,26.75,27.15,24.55,24.35,23.12,27.05,26.72,26.15,25.76
1928,23.65,22.75,25.65,28.05,29.15,27.85,26.35,26.05,25.65,26.95,26.85,24.65,23.58,27.62,26.75,26.48,26.11
1929,22.85,23.15,26.85,28.65,29.85,27.15,26.55,26.25,26.55,26.95,27.35,23.85,23.55,28.45,26.65,26.95,26.40
1930,22.55,23.35,25.35,27.45,29.35,27.75,26.25,26.05,26.25,28.05,26.15,25.05,23.25,27.38,26.68,26.82,26.03
1931,24.85,23.85,25.25,28.65,29.65,29.45,26.25,26.45,26.85,26.25,26.85,24.86,24.58,27.85,27.38,26.65,26.62
